id,beer_name,brewery,style,venue,city,country,lat,lon,serving_type,checkin_date,year,month,year_month,weekday
165,TIPA DDH KRUSH / NELSON SAUVIN / CITRA,Popihn,TIPA,Delirium Café Köln,Köln,DE,50.9394,6.9592,,2026-01-10,2026,01,2026-01,Saturday
166,Lagerbier Hell,Augustiner-Bräu München,Lager/Pils,BierMuseum,Köln,DE,50.9383,6.9616,,2026-01-10,2026,01,2026-01,Saturday
167,Diebels Alt,Brauerei Diebels,Altbier,BierMuseum,Köln,DE,50.9383,6.9616,,2026-01-10,2026,01,2026-01,Saturday
168,Krönes' Eifeler Landbier,Gemünder Brauerei,Other,BierMuseum,Köln,DE,50.9383,6.9616,,2026-01-10,2026,01,2026-01,Saturday
169,Aecht Schlenkerla Rauchbier – Märzen,"Schlenkerla (""Heller-Bräu"" Trum)",Bock/Märzen,BierMuseum,Köln,DE,50.9383,6.9616,,2026-01-10,2026,01,2026-01,Saturday
170,Hofbräu Oktoberfestbier,Staatliches Hofbräuhaus München,Bock/Märzen,BierMuseum,Köln,DE,50.9383,6.9616,,2026-01-10,2026,01,2026-01,Saturday
171,Staropramen Premium / Ležák 12,Pivovary Staropramen,Other,BierMuseum,Köln,DE,50.9383,6.9616,,2026-01-10,2026,01,2026-01,Saturday
172,Avec Les Bons Vœux de la Brasserie Dupont,Brasserie Dupont,Other,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-10,2026,01,2026-01,Saturday
173,Sion Kölsch,Radeberger Gruppe,Kölsch,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-10,2026,01,2026-01,Saturday
174,Urstoff / Bio Urstoff,Neumarkter Lammsbräu,Other,,,,,,,2026-01-10,2026,01,2026-01,Saturday
175,Gilden Kölsch,Radeberger Gruppe,Kölsch,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-10,2026,01,2026-01,Saturday
176,Tipsy,Gebroeders Hermans Frères bv,Other,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-10,2026,01,2026-01,Saturday
177,Tennent's Stout,Tennent's Caledonian Brewery,Stout/Porter,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-10,2026,01,2026-01,Saturday
178,La Grelotte,Brasserie Grain d'Orge,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-10,2026,01,2026-01,Saturday
179,PILGRIM // RAT BREWERY // IMPERIAL STOUT,Northern Monk,Stout/Porter,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-10,2026,01,2026-01,Saturday
180,Willkommen In Heislhausen,Yankee & Kraut,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-10,2026,01,2026-01,Saturday
181,Steenbrugge Blond,Brouwerij Palm,Blonde/Golden,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-10,2026,01,2026-01,Saturday
182,Peak IPA,Belgium Peak Beer,IPA,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-10,2026,01,2026-01,Saturday
183,Weiherer Keller-Märzen,Brauerei Kundmüller,Bock/Märzen,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-10,2026,01,2026-01,Saturday
184,Kriek,Brouwerij Lindemans,Sour/Wild,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-10,2026,01,2026-01,Saturday
185,GrischBEERla,Brauerei Kundmüller,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-10,2026,01,2026-01,Saturday
186,Agasse,La Cahute,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-10,2026,01,2026-01,Saturday
187,Rodenbach Grand Cru,Brouwerij Rodenbach,Other,,,,,,,2026-01-09,2026,01,2026-01,Friday
188,Weißbier,Brauerei Simon,Wheat Beer,,,,,,,2026-01-09,2026,01,2026-01,Friday
189,GISH GALOPP | grainfog series 4/5,ATELIER VRAI,Other,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-09,2026,01,2026-01,Friday
